agent_ID,neighb_code,age,sex,migrationbackground,hh_single,ischild,havechild,current_education,absolved_education,BMI,employed,edu_int,car_access,bike_habit,car_habit,transit_habit,incomeclass_int,SchedID,sex_male,Western,Non_Western,Dutch,HH_size,Nrchildren,student
Agent_215546,BU03632802,67,female,Western,0,0,1,no_current_edu,high,normal_weight,1,3,1,1,1,0,8,Sched37_20,0,1,0,0,3,1,0
Agent_592042,BU03637107,70,female,Dutch,0,0,0,no_current_edu,middle,normal_weight,1,2,1,1,0,0,9,Sched33_0,0,0,0,1,4,0,0
Agent_339470,BU03634001,33,female,Dutch,0,0,1,no_current_edu,high,normal_weight,1,3,0,1,0,1,7,Sched85_0,0,0,0,1,3,1,0
Agent_661540,BU03638102,23,male,Non-Western,1,0,0,no_current_edu,high,moderate_overweight,1,3,0,1,0,0,6,Sched9_7,1,0,1,0,1,0,0
Agent_308838,BU03633703,28,male,Western,0,0,0,no_current_edu,low,normal_weight,1,1,0,1,0,1,10,Sched89_27,1,1,0,0,4,0,0
Agent_548849,BU03636801,32,female,Dutch,0,0,1,no_current_edu,middle,normal_weight,1,2,0,1,0,1,5,Sched85_25,0,0,0,1,5,3,0
Agent_269833,BU03633303,45,male,Western,1,0,0,no_current_edu,high,normal_weight,1,3,1,1,1,0,9,Sched57_45,1,1,0,0,1,0,0
Agent_120822,BU03631600,25,female,Western,1,0,0,no_current_edu,high,normal_weight,1,3,0,1,0,1,8,Sched81_46,0,1,0,0,1,0,0
Agent_404106,BU03634801,12,female,Non-Western,0,1,0,low,0,normal_weight,1,1,0,1,0,1,9,Sched16_150,0,0,1,0,2,0,0
Agent_582957,BU03637002,76,female,Non-Western,0,0,1,no_current_edu,low,moderate_overweight,1,1,1,1,1,0,1,Sched37_147,0,0,1,0,3,1,0
Agent_736268,BU03638703,25,female,Dutch,0,0,1,no_current_edu,high,obese,1,3,0,1,0,1,7,Sched85_33,0,0,0,1,3,2,0
Agent_301771,BU03633702,14,male,Non-Western,0,1,0,low,0,moderate_overweight,1,1,0,0,0,0,1,Sched24_18,1,0,1,0,2,0,0
Agent_583,BU03630000,41,female,Western,0,0,0,no_current_edu,high,normal_weight,0,3,0,1,0,1,1,Sched67_0,0,1,0,0,4,0,0
Agent_690087,BU03638300,67,male,Non-Western,0,0,1,no_current_edu,middle,moderate_overweight,1,2,1,1,1,0,6,Sched45_2,1,0,1,0,2,1,0
Agent_158877,BU03632101,15,male,Western,0,1,0,low,low,normal_weight,1,1,0,0,0,1,9,Sched24_19,1,1,0,0,3,0,0
