agent_ID,neighb_code,age,sex,migrationbackground,hh_single,ischild,havechild,current_education,absolved_education,BMI,employed,edu_int,car_access,bike_habit,car_habit,transit_habit,incomeclass_int,SchedID,sex_male,Western,Non_Western,Dutch,HH_size,Nrchildren,student,EV_access2020,EV_access2025,EV_access2030
Agent_322324,BU03633802,39,male,Western,0,0,0,no_current_edu,high,normal_weight,1,3,0,1,1,1,7,Sched73_18,1,1,0,0,4,0,0,0,0,0
Agent_758238,BU03638901,31,female,Non-Western,0,0,1,no_current_edu,high,underweight,1,3,0,1,0,1,6,Sched85_25,0,0,1,0,4,2,0,0,0,0
Agent_728126,BU03638700,18,female,Western,0,0,0,no_current_edu,low,normal_weight,1,1,0,0,0,0,9,Sched1_5,0,1,0,0,3,0,0,0,0,0
Agent_634921,BU03637800,66,female,Dutch,0,0,1,no_current_edu,low,moderate_overweight,1,1,1,0,1,0,7,Sched37_53,0,0,0,1,3,1,0,0,1,1
Agent_269695,BU03633303,46,male,Dutch,0,0,0,no_current_edu,middle,moderate_overweight,1,2,1,1,0,1,2,Sched57_141,1,0,0,1,3,0,0,0,0,0
Agent_337677,BU03634000,35,male,Dutch,1,0,0,no_current_edu,high,normal_weight,1,3,0,1,0,0,3,Sched73_14,1,0,0,1,1,0,0,0,0,0
Agent_657575,BU03638101,6,female,Dutch,0,1,0,low,0,moderate_overweight,0,1,0,0,0,0,2,SchedChild_1,0,0,0,1,2,0,0,0,0,0
Agent_673347,BU03638201,40,male,Dutch,0,0,1,no_current_edu,low,moderate_overweight,1,1,0,0,1,0,10,Sched77_43,1,0,0,1,6,4,0,0,0,0
Agent_250289,BU03633102,46,female,Non-Western,0,0,1,no_current_edu,low,moderate_overweight,1,1,0,0,0,1,8,Sched53_1,0,0,1,0,2,1,0,0,0,0
Agent_773196,BU03639003,18,male,Non-Western,0,0,0,middle,low,normal_weight,1,1,1,1,0,0,6,Sched8_10,1,0,1,0,4,0,0,0,0,0
Agent_737692,BU03638704,21,female,Western,0,0,1,no_current_edu,high,normal_weight,1,3,0,1,0,0,3,Sched5_3,0,1,0,0,2,1,0,0,0,0
Agent_390163,BU03634602,78,female,Dutch,1,0,0,no_current_edu,high,normal_weight,1,3,1,1,1,1,9,Sched33_1,0,0,0,1,1,0,0,0,0,1
Agent_757816,BU03638901,32,female,Dutch,0,0,0,no_current_edu,middle,moderate_overweight,1,2,0,0,0,1,5,Sched81_17,0,0,0,1,3,0,0,0,0,0
Agent_750799,BU03638808,23,male,Dutch,0,0,1,no_current_edu,middle,moderate_overweight,1,2,1,1,0,1,6,Sched13_6,1,0,0,1,2,1,0,0,0,1
Agent_747753,BU03638806,54,female,Dutch,0,0,0,no_current_edu,high,normal_weight,1,3,1,0,1,0,5,Sched49_11,0,0,0,1,2,0,0,0,0,0
Agent_730988,BU03638701,23,female,Dutch,0,0,0,high,high,normal_weight,0,3,1,1,0,1,2,Sched2_19,0,0,0,1,3,0,1,0,0,0
Agent_798527,BU03639303,20,male,Dutch,0,0,1,high,middle,normal_weight,1,2,0,1,0,0,3,Sched12_7,1,0,0,1,3,1,1,0,0,0
Agent_651654,BU03638001,33,female,Dutch,1,0,0,no_current_edu,high,normal_weight,1,3,1,0,1,0,7,Sched81_17,0,0,0,1,1,0,0,0,1,1
Agent_578008,BU03637001,25,male,Non-Western,0,0,1,high,high,moderate_overweight,1,3,1,0,1,1,10,Sched92_0,1,0,1,0,2,1,1,0,0,1
Agent_448710,BU03635300,58,male,Non-Western,0,0,0,no_current_edu,middle,obese,1,2,1,0,1,0,5,Sched57_3,1,0,1,0,3,0,0,0,0,0
Agent_26863,BU03630405,84,male,Dutch,1,0,0,no_current_edu,high,normal_weight,1,3,0,1,1,1,6,Sched41_2,1,0,0,1,1,0,0,0,0,0
Agent_86678,BU03630908,46,male,Dutch,1,0,0,no_current_edu,middle,moderate_overweight,1,2,0,1,0,0,1,Sched57_137,1,0,0,1,1,0,0,0,0,0
Agent_357611,BU03634201,48,male,Non-Western,0,0,1,no_current_edu,middle,normal_weight,1,2,1,1,1,1,9,Sched61_6,1,0,1,0,4,3,0,0,0,1
Agent_23539,BU03630403,31,male,Western,0,0,1,no_current_edu,high,normal_weight,1,3,1,1,1,0,5,Sched93_19,1,1,0,0,3,1,0,0,1,1
Agent_352128,BU03634200,18,male,Non-Western,0,0,1,middle,low,normal_weight,1,1,1,1,0,0,1,Sched12_4,1,0,1,0,7,5,0,0,0,0
Agent_28153,BU03630407,4,male,Non-Western,0,1,0,no_current_edu,0,moderate_overweight,0,1,0,1,0,0,1,SchedChild_0,1,0,1,0,2,0,0,0,0,0
Agent_225371,BU03632901,27,male,Dutch,0,0,0,no_current_edu,high,moderate_overweight,1,3,1,1,0,0,4,Sched89_46,1,0,0,1,3,0,0,0,0,0
Agent_365705,BU03634300,68,female,Western,0,0,0,no_current_edu,low,moderate_overweight,1,1,1,1,1,0,8,Sched33_3,0,1,0,0,3,0,0,0,0,0
Agent_628226,BU03637705,6,female,Non-Western,0,1,0,low,0,moderate_overweight,0,1,0,1,0,0,1,SchedChild_0,0,0,1,0,4,0,0,0,0,0
Agent_12374,BU03630201,72,female,Dutch,0,0,0,no_current_edu,high,normal_weight,1,3,1,1,0,1,9,Sched33_3,0,0,0,1,3,0,0,0,0,0
Agent_64040,BU03630705,30,male,Western,1,0,0,no_current_edu,high,normal_weight,1,3,0,1,0,1,7,Sched89_37,1,1,0,0,1,0,0,0,0,0
Agent_23457,BU03630403,28,female,Dutch,0,0,0,no_current_edu,high,moderate_overweight,1,3,0,1,0,0,10,Sched81_0,0,0,0,1,3,0,0,0,0,0
Agent_56435,BU03630611,3,male,Dutch,0,1,0,no_current_edu,0,0,1,1,0,1,0,0,4,SchedBaby_1,1,0,0,1,4,0,0,0,0,0
Agent_602533,BU03637502,32,female,Western,0,0,0,no_current_edu,high,moderate_overweight,1,3,0,1,0,0,6,Sched81_37,0,1,0,0,3,0,0,0,0,0
Agent_443106,BU03635203,31,male,Dutch,1,0,0,no_current_edu,high,normal_weight,1,3,0,1,0,0,8,Sched89_15,1,0,0,1,1,0,0,0,0,0
Agent_269546,BU03633303,51,female,Non-Western,0,0,0,no_current_edu,high,moderate_overweight,1,3,1,1,0,0,9,Sched49_73,0,0,1,0,4,0,0,0,0,0
Agent_856449,BU03639604,14,male,Non-Western,0,1,0,low,0,moderate_overweight,1,1,0,0,0,1,1,Sched24_102,1,0,1,0,4,0,0,0,0,0
Agent_115597,BU03631405,54,female,Dutch,0,0,1,no_current_edu,middle,moderate_overweight,1,2,0,1,0,1,7,Sched53_7,0,0,0,1,4,2,0,0,0,0
Agent_816101,BU03639401,55,male,Non-Western,0,0,0,no_current_edu,low,normal_weight,1,1,0,1,0,0,10,Sched57_86,1,0,1,0,2,0,0,0,0,0
Agent_93145,BU03631300,31,male,Dutch,1,0,0,no_current_edu,high,moderate_overweight,1,3,0,0,0,0,9,Sched89_40,1,0,0,1,1,0,0,0,0,0
Agent_648822,BU03637901,3,male,Dutch,0,1,0,no_current_edu,0,0,1,1,1,0,0,0,1,SchedBaby_1,1,0,0,1,3,0,0,0,0,0
Agent_8451,BU03630107,23,male,Dutch,1,0,0,high,high,normal_weight,1,3,0,1,0,1,1,Sched8_18,1,0,0,1,1,0,1,0,0,0
Agent_837,BU03630000,54,female,Dutch,0,0,1,no_current_edu,high,normal_weight,1,3,0,1,0,0,8,Sched53_39,0,0,0,1,2,1,0,0,0,0
Agent_23295,BU03630403,41,male,Dutch,0,0,1,no_current_edu,high,normal_weight,1,3,1,1,1,0,7,Sched77_33,1,0,0,1,3,1,0,0,1,1
Agent_648502,BU03637804,26,male,Western,0,0,1,no_current_edu,high,normal_weight,1,3,0,1,0,1,9,Sched93_8,1,1,0,0,4,2,0,0,0,0
Agent_693510,BU03638400,63,female,Dutch,0,0,0,no_current_edu,high,moderate_overweight,1,3,0,1,0,0,7,Sched49_2,0,0,0,1,3,0,0,0,0,0
Agent_222802,BU03632900,70,female,Dutch,1,0,0,no_current_edu,middle,normal_weight,1,2,0,0,0,1,8,Sched33_0,0,0,0,1,1,0,0,0,0,0
Agent_413182,BU03634805,43,female,Dutch,0,0,1,no_current_edu,high,normal_weight,1,3,1,1,0,1,6,Sched69_64,0,0,0,1,4,2,0,0,0,1
